episode,winner,PPO,Random
700,Random,-1,1
701,PPO,1,-1
702,PPO,1,-1
703,Random,-1,1
704,PPO,1,-1
705,Random,-1,1
706,PPO,1,-1
707,PPO,1,-1
708,PPO,1,-1
709,PPO,1,-1
710,Random,-1,1
711,PPO,1,-1
712,PPO,1,-1
713,PPO,1,-1
714,PPO,1,-1
715,PPO,1,-1
716,PPO,1,-1
717,Random,-1,1
718,PPO,1,-1
719,Random,-1,1
720,PPO,1,-1
721,Random,-1,1
722,Random,-1,1
723,PPO,1,-1
724,PPO,1,-1
725,PPO,1,-1
726,Random,-1,1
727,PPO,1,-1
728,PPO,1,-1
729,PPO,1,-1
730,PPO,1,-1
731,PPO,1,-1
732,PPO,1,-1
733,PPO,1,-1
734,PPO,1,-1
735,PPO,1,-1
736,PPO,1,-1
737,PPO,1,-1
738,Random,-1,1
739,Random,-1,1
740,Random,-1,1
741,draw,0,0
742,PPO,1,-1
743,PPO,1,-1
744,PPO,1,-1
745,PPO,1,-1
746,PPO,1,-1
747,PPO,1,-1
748,PPO,1,-1
749,PPO,1,-1
750,PPO,1,-1
751,PPO,1,-1
752,PPO,1,-1
753,draw,0,0
754,PPO,1,-1
755,PPO,1,-1
756,PPO,1,-1
757,PPO,1,-1
758,PPO,1,-1
759,PPO,1,-1
760,PPO,1,-1
761,PPO,1,-1
762,Random,-1,1
763,PPO,1,-1
764,PPO,1,-1
765,PPO,1,-1
766,PPO,1,-1
767,Random,-1,1
768,PPO,1,-1
769,PPO,1,-1
770,Random,-1,1
771,draw,0,0
772,PPO,1,-1
773,PPO,1,-1
774,Random,-1,1
775,PPO,1,-1
776,PPO,1,-1
777,Random,-1,1
778,PPO,1,-1
779,PPO,1,-1
780,Random,-1,1
781,Random,-1,1
782,PPO,1,-1
783,PPO,1,-1
784,PPO,1,-1
785,PPO,1,-1
786,PPO,1,-1
787,Random,-1,1
788,PPO,1,-1
789,PPO,1,-1
790,PPO,1,-1
791,PPO,1,-1
792,PPO,1,-1
793,PPO,1,-1
794,PPO,1,-1
795,draw,0,0
796,PPO,1,-1
797,Random,-1,1
798,Random,-1,1
799,PPO,1,-1
800,PPO,1,-1
801,PPO,1,-1
802,PPO,1,-1
803,PPO,1,-1
804,PPO,1,-1
805,PPO,1,-1
806,PPO,1,-1
807,PPO,1,-1
808,PPO,1,-1
809,PPO,1,-1
810,PPO,1,-1
811,PPO,1,-1
812,PPO,1,-1
813,draw,0,0
814,Random,-1,1
815,PPO,1,-1
816,PPO,1,-1
817,Random,-1,1
818,PPO,1,-1
819,PPO,1,-1
820,Random,-1,1
821,PPO,1,-1
822,PPO,1,-1
823,PPO,1,-1
824,PPO,1,-1
825,PPO,1,-1
826,PPO,1,-1
827,PPO,1,-1
828,PPO,1,-1
829,PPO,1,-1
830,PPO,1,-1
831,PPO,1,-1
832,PPO,1,-1
833,PPO,1,-1
834,PPO,1,-1
835,PPO,1,-1
836,PPO,1,-1
837,PPO,1,-1
838,PPO,1,-1
839,PPO,1,-1
840,PPO,1,-1
841,PPO,1,-1
842,PPO,1,-1
843,PPO,1,-1
844,PPO,1,-1
845,PPO,1,-1
846,PPO,1,-1
847,PPO,1,-1
848,PPO,1,-1
849,PPO,1,-1
850,PPO,1,-1
851,PPO,1,-1
852,PPO,1,-1
853,Random,-1,1
854,PPO,1,-1
855,PPO,1,-1
856,Random,-1,1
857,PPO,1,-1
858,PPO,1,-1
859,PPO,1,-1
860,PPO,1,-1
861,PPO,1,-1
862,PPO,1,-1
863,Random,-1,1
864,Random,-1,1
865,Random,-1,1
866,PPO,1,-1
867,PPO,1,-1
868,PPO,1,-1
869,PPO,1,-1
870,PPO,1,-1
871,PPO,1,-1
872,PPO,1,-1
873,Random,-1,1
874,PPO,1,-1
875,PPO,1,-1
876,Random,-1,1
877,Random,-1,1
878,PPO,1,-1
879,PPO,1,-1
880,PPO,1,-1
881,PPO,1,-1
882,PPO,1,-1
883,Random,-1,1
884,PPO,1,-1
885,PPO,1,-1
886,PPO,1,-1
887,PPO,1,-1
888,PPO,1,-1
889,PPO,1,-1
890,PPO,1,-1
891,PPO,1,-1
892,PPO,1,-1
893,PPO,1,-1
894,Random,-1,1
895,PPO,1,-1
896,PPO,1,-1
897,PPO,1,-1
898,PPO,1,-1
899,PPO,1,-1
900,PPO,1,-1
901,Random,-1,1
902,PPO,1,-1
903,PPO,1,-1
904,PPO,1,-1
905,PPO,1,-1
906,PPO,1,-1
907,PPO,1,-1
908,PPO,1,-1
909,PPO,1,-1
910,PPO,1,-1
911,PPO,1,-1
912,PPO,1,-1
913,PPO,1,-1
914,PPO,1,-1
915,PPO,1,-1
916,Random,-1,1
917,Random,-1,1
918,draw,0,0
919,Random,-1,1
920,PPO,1,-1
921,PPO,1,-1
922,PPO,1,-1
923,PPO,1,-1
924,Random,-1,1
925,PPO,1,-1
926,PPO,1,-1
927,PPO,1,-1
928,PPO,1,-1
929,Random,-1,1
930,PPO,1,-1
931,Random,-1,1
932,PPO,1,-1
933,PPO,1,-1
934,Random,-1,1
935,PPO,1,-1
936,PPO,1,-1
937,PPO,1,-1
938,PPO,1,-1
939,PPO,1,-1
940,PPO,1,-1
941,Random,-1,1
942,PPO,1,-1
943,PPO,1,-1
944,PPO,1,-1
945,PPO,1,-1
946,PPO,1,-1
947,Random,-1,1
948,PPO,1,-1
949,PPO,1,-1
950,PPO,1,-1
951,PPO,1,-1
952,Random,-1,1
953,PPO,1,-1
954,PPO,1,-1
955,PPO,1,-1
956,PPO,1,-1
957,PPO,1,-1
958,PPO,1,-1
959,PPO,1,-1
960,PPO,1,-1
961,Random,-1,1
962,PPO,1,-1
963,PPO,1,-1
964,PPO,1,-1
965,PPO,1,-1
966,PPO,1,-1
967,PPO,1,-1
968,Random,-1,1
969,Random,-1,1
970,PPO,1,-1
971,PPO,1,-1
972,PPO,1,-1
973,PPO,1,-1
974,PPO,1,-1
975,PPO,1,-1
976,PPO,1,-1
977,Random,-1,1
978,PPO,1,-1
979,PPO,1,-1
980,PPO,1,-1
981,PPO,1,-1
982,Random,-1,1
983,PPO,1,-1
984,PPO,1,-1
985,PPO,1,-1
986,Random,-1,1
987,PPO,1,-1
988,Random,-1,1
989,PPO,1,-1
990,PPO,1,-1
991,PPO,1,-1
992,PPO,1,-1
993,Random,-1,1
994,PPO,1,-1
995,PPO,1,-1
996,PPO,1,-1
997,PPO,1,-1
998,PPO,1,-1
999,Random,-1,1
1000,Random,-1,1
1001,PPO,1,-1
1002,Random,-1,1
1003,Random,-1,1
1004,PPO,1,-1
1005,PPO,1,-1
1006,PPO,1,-1
1007,PPO,1,-1
1008,PPO,1,-1
1009,PPO,1,-1
1010,PPO,1,-1
1011,PPO,1,-1
1012,Random,-1,1
1013,PPO,1,-1
1014,PPO,1,-1
1015,Random,-1,1
1016,PPO,1,-1
1017,Random,-1,1
1018,PPO,1,-1
1019,PPO,1,-1
1020,PPO,1,-1
1021,PPO,1,-1
1022,PPO,1,-1
1023,PPO,1,-1
1024,Random,-1,1
1025,PPO,1,-1
1026,PPO,1,-1
1027,PPO,1,-1
1028,PPO,1,-1
1029,PPO,1,-1
1030,PPO,1,-1
1031,PPO,1,-1
1032,PPO,1,-1
1033,Random,-1,1
1034,PPO,1,-1
1035,PPO,1,-1
1036,PPO,1,-1
1037,Random,-1,1
1038,PPO,1,-1
1039,PPO,1,-1
1040,Random,-1,1
1041,PPO,1,-1
1042,PPO,1,-1
1043,PPO,1,-1
1044,PPO,1,-1
1045,PPO,1,-1
1046,PPO,1,-1
1047,PPO,1,-1
1048,Random,-1,1
1049,PPO,1,-1
1050,PPO,1,-1
1051,Random,-1,1
1052,PPO,1,-1
1053,PPO,1,-1
1054,Random,-1,1
1055,PPO,1,-1
1056,PPO,1,-1
1057,Random,-1,1
1058,PPO,1,-1
1059,PPO,1,-1
1060,PPO,1,-1
1061,Random,-1,1
1062,PPO,1,-1
1063,PPO,1,-1
1064,Random,-1,1
1065,PPO,1,-1
1066,PPO,1,-1
1067,PPO,1,-1
1068,Random,-1,1
1069,Random,-1,1
1070,PPO,1,-1
1071,PPO,1,-1
1072,PPO,1,-1
1073,Random,-1,1
1074,PPO,1,-1
1075,PPO,1,-1
1076,PPO,1,-1
1077,PPO,1,-1
1078,PPO,1,-1
1079,PPO,1,-1
1080,PPO,1,-1
1081,PPO,1,-1
1082,PPO,1,-1
1083,PPO,1,-1
1084,PPO,1,-1
