episode,winner,PPO,PPO_2
925,PPO_2,-1,1
926,PPO_2,-1,1
927,PPO,1,-1
928,PPO,1,-1
929,PPO,1,-1
930,PPO_2,-1,1
931,PPO,1,-1
932,PPO_2,-1,1
933,PPO,1,-1
934,PPO_2,-1,1
935,PPO_2,-1,1
936,PPO_2,-1,1
937,PPO_2,-1,1
938,PPO_2,-1,1
939,PPO,1,-1
940,PPO_2,-1,1
941,PPO_2,-1,1
942,draw,0,0
943,PPO,1,-1
944,PPO_2,-1,1
945,PPO_2,-1,1
946,PPO_2,-1,1
947,PPO_2,-1,1
948,PPO_2,-1,1
949,PPO,1,-1
950,PPO_2,-1,1
951,PPO_2,-1,1
952,PPO_2,-1,1
953,PPO,1,-1
954,PPO,1,-1
955,PPO,1,-1
956,PPO,1,-1
957,PPO_2,-1,1
958,PPO,1,-1
959,PPO_2,-1,1
960,PPO_2,-1,1
961,PPO,1,-1
962,PPO_2,-1,1
963,PPO_2,-1,1
964,PPO_2,-1,1
965,PPO_2,-1,1
966,PPO_2,-1,1
967,PPO,1,-1
968,PPO,1,-1
969,PPO_2,-1,1
970,PPO_2,-1,1
971,PPO,1,-1
972,PPO_2,-1,1
973,PPO_2,-1,1
974,PPO_2,-1,1
975,PPO_2,-1,1
976,PPO,1,-1
977,PPO_2,-1,1
978,PPO_2,-1,1
979,PPO_2,-1,1
980,PPO_2,-1,1
981,PPO_2,-1,1
982,PPO,1,-1
983,PPO_2,-1,1
984,PPO,1,-1
985,PPO_2,-1,1
986,PPO,1,-1
987,PPO_2,-1,1
988,PPO_2,-1,1
989,PPO_2,-1,1
990,PPO,1,-1
991,PPO_2,-1,1
992,PPO,1,-1
993,PPO_2,-1,1
994,PPO_2,-1,1
995,PPO_2,-1,1
996,PPO_2,-1,1
997,PPO,1,-1
998,PPO_2,-1,1
999,PPO_2,-1,1
1000,PPO_2,-1,1
1001,PPO_2,-1,1
1002,PPO_2,-1,1
1003,PPO_2,-1,1
1004,PPO_2,-1,1
1005,PPO_2,-1,1
1006,PPO_2,-1,1
1007,PPO_2,-1,1
1008,PPO_2,-1,1
1009,PPO_2,-1,1
1010,PPO,1,-1
1011,PPO_2,-1,1
1012,PPO,1,-1
1013,PPO_2,-1,1
1014,PPO_2,-1,1
1015,PPO,1,-1
1016,PPO_2,-1,1
1017,PPO_2,-1,1
1018,PPO_2,-1,1
1019,PPO,1,-1
1020,PPO_2,-1,1
1021,PPO_2,-1,1
1022,PPO_2,-1,1
1023,PPO,1,-1
1024,PPO_2,-1,1
1025,PPO,1,-1
1026,PPO,1,-1
1027,PPO,1,-1
1028,PPO_2,-1,1
1029,PPO,1,-1
1030,PPO_2,-1,1
1031,PPO_2,-1,1
1032,PPO_2,-1,1
1033,PPO_2,-1,1
1034,PPO_2,-1,1
1035,PPO_2,-1,1
1036,PPO_2,-1,1
1037,PPO_2,-1,1
1038,PPO_2,-1,1
1039,PPO_2,-1,1
1040,PPO_2,-1,1
1041,PPO_2,-1,1
1042,PPO,1,-1
1043,PPO_2,-1,1
1044,PPO_2,-1,1
1045,PPO_2,-1,1
1046,PPO_2,-1,1
1047,PPO_2,-1,1
1048,PPO_2,-1,1
1049,PPO_2,-1,1
1050,PPO,1,-1
1051,PPO,1,-1
1052,PPO_2,-1,1
1053,PPO,1,-1
1054,PPO_2,-1,1
1055,PPO_2,-1,1
1056,PPO_2,-1,1
1057,PPO_2,-1,1
1058,PPO_2,-1,1
1059,PPO_2,-1,1
1060,PPO_2,-1,1
1061,PPO_2,-1,1
1062,PPO_2,-1,1
1063,PPO_2,-1,1
1064,PPO,1,-1
1065,PPO_2,-1,1
1066,PPO,1,-1
1067,PPO,1,-1
1068,PPO_2,-1,1
1069,PPO_2,-1,1
1070,PPO_2,-1,1
1071,PPO_2,-1,1
1072,PPO_2,-1,1
1073,PPO,1,-1
1074,PPO_2,-1,1
1075,PPO_2,-1,1
1076,PPO_2,-1,1
1077,PPO,1,-1
1078,PPO,1,-1
1079,PPO,1,-1
1080,PPO_2,-1,1
1081,PPO_2,-1,1
1082,PPO_2,-1,1
1083,PPO,1,-1
1084,PPO_2,-1,1
1085,PPO,1,-1
1086,PPO_2,-1,1
1087,PPO_2,-1,1
1088,PPO_2,-1,1
1089,PPO_2,-1,1
1090,PPO,1,-1
1091,PPO_2,-1,1
1092,PPO,1,-1
1093,PPO_2,-1,1
1094,PPO_2,-1,1
1095,PPO_2,-1,1
1096,PPO_2,-1,1
1097,PPO_2,-1,1
1098,PPO_2,-1,1
1099,PPO_2,-1,1
1100,PPO_2,-1,1
1101,PPO,1,-1
1102,PPO,1,-1
1103,PPO_2,-1,1
1104,PPO_2,-1,1
