episode,winner,DQN,Random
757,Random,-1,1
758,Random,-1,1
759,draw,0,0
760,DQN,1,-1
761,DQN,1,-1
762,DQN,1,-1
763,DQN,1,-1
764,draw,0,0
765,draw,0,0
766,Random,-1,1
767,Random,-1,1
768,Random,-1,1
769,DQN,1,-1
770,draw,0,0
771,DQN,1,-1
772,draw,0,0
773,Random,-1,1
774,Random,-1,1
775,Random,-1,1
776,DQN,1,-1
777,draw,0,0
778,Random,-1,1
779,Random,-1,1
780,DQN,1,-1
781,draw,0,0
782,DQN,1,-1
783,DQN,1,-1
784,Random,-1,1
785,draw,0,0
786,Random,-1,1
787,DQN,1,-1
788,Random,-1,1
789,Random,-1,1
790,Random,-1,1
791,DQN,1,-1
792,draw,0,0
793,Random,-1,1
794,Random,-1,1
795,DQN,1,-1
796,draw,0,0
797,draw,0,0
798,draw,0,0
799,draw,0,0
800,DQN,1,-1
801,draw,0,0
802,DQN,1,-1
803,DQN,1,-1
804,Random,-1,1
805,Random,-1,1
806,Random,-1,1
807,Random,-1,1
808,Random,-1,1
809,DQN,1,-1
810,draw,0,0
811,draw,0,0
812,draw,0,0
813,DQN,1,-1
814,Random,-1,1
815,Random,-1,1
816,draw,0,0
817,Random,-1,1
818,draw,0,0
819,draw,0,0
820,Random,-1,1
821,draw,0,0
822,Random,-1,1
823,DQN,1,-1
824,DQN,1,-1
825,draw,0,0
826,draw,0,0
827,Random,-1,1
828,draw,0,0
829,Random,-1,1
830,Random,-1,1
831,DQN,1,-1
832,Random,-1,1
833,Random,-1,1
834,DQN,1,-1
835,draw,0,0
836,draw,0,0
837,DQN,1,-1
838,Random,-1,1
839,draw,0,0
840,draw,0,0
841,Random,-1,1
842,Random,-1,1
843,draw,0,0
844,DQN,1,-1
845,DQN,1,-1
846,draw,0,0
847,DQN,1,-1
848,Random,-1,1
849,draw,0,0
850,draw,0,0
851,draw,0,0
852,Random,-1,1
853,DQN,1,-1
854,Random,-1,1
855,draw,0,0
856,Random,-1,1
857,draw,0,0
858,DQN,1,-1
859,DQN,1,-1
860,DQN,1,-1
861,draw,0,0
862,DQN,1,-1
863,DQN,1,-1
864,draw,0,0
865,DQN,1,-1
866,Random,-1,1
867,DQN,1,-1
868,DQN,1,-1
869,DQN,1,-1
870,Random,-1,1
871,Random,-1,1
872,draw,0,0
873,DQN,1,-1
874,Random,-1,1
875,DQN,1,-1
876,DQN,1,-1
877,draw,0,0
878,DQN,1,-1
879,DQN,1,-1
880,DQN,1,-1
881,draw,0,0
882,Random,-1,1
883,draw,0,0
884,Random,-1,1
885,Random,-1,1
886,DQN,1,-1
887,Random,-1,1
888,draw,0,0
889,draw,0,0
890,DQN,1,-1
891,draw,0,0
892,Random,-1,1
893,DQN,1,-1
894,Random,-1,1
895,DQN,1,-1
896,DQN,1,-1
897,DQN,1,-1
898,Random,-1,1
899,Random,-1,1
900,DQN,1,-1
901,draw,0,0
902,Random,-1,1
903,DQN,1,-1
904,DQN,1,-1
905,draw,0,0
906,Random,-1,1
907,Random,-1,1
908,DQN,1,-1
909,Random,-1,1
910,Random,-1,1
911,DQN,1,-1
912,draw,0,0
913,draw,0,0
914,DQN,1,-1
915,Random,-1,1
916,draw,0,0
917,DQN,1,-1
918,draw,0,0
919,draw,0,0
920,Random,-1,1
921,DQN,1,-1
922,DQN,1,-1
923,draw,0,0
924,draw,0,0
925,draw,0,0
926,Random,-1,1
927,DQN,1,-1
928,draw,0,0
929,draw,0,0
930,draw,0,0
931,Random,-1,1
932,DQN,1,-1
933,DQN,1,-1
934,DQN,1,-1
935,draw,0,0
936,draw,0,0
937,draw,0,0
938,draw,0,0
939,DQN,1,-1
940,draw,0,0
941,draw,0,0
942,DQN,1,-1
943,draw,0,0
944,draw,0,0
945,DQN,1,-1
946,draw,0,0
947,draw,0,0
948,draw,0,0
949,draw,0,0
950,draw,0,0
951,DQN,1,-1
952,draw,0,0
953,draw,0,0
954,Random,-1,1
955,DQN,1,-1
956,DQN,1,-1
957,Random,-1,1
958,draw,0,0
959,draw,0,0
960,Random,-1,1
961,DQN,1,-1
962,draw,0,0
963,DQN,1,-1
964,DQN,1,-1
965,draw,0,0
966,Random,-1,1
967,Random,-1,1
968,draw,0,0
969,DQN,1,-1
970,DQN,1,-1
971,DQN,1,-1
972,draw,0,0
973,Random,-1,1
974,draw,0,0
975,Random,-1,1
976,Random,-1,1
977,Random,-1,1
978,DQN,1,-1
979,DQN,1,-1
980,DQN,1,-1
981,draw,0,0
982,DQN,1,-1
983,draw,0,0
984,DQN,1,-1
985,draw,0,0
986,DQN,1,-1
987,DQN,1,-1
988,draw,0,0
989,DQN,1,-1
990,DQN,1,-1
991,Random,-1,1
992,draw,0,0
993,DQN,1,-1
994,DQN,1,-1
995,Random,-1,1
996,draw,0,0
997,draw,0,0
998,Random,-1,1
999,draw,0,0
1000,DQN,1,-1
1001,DQN,1,-1
1002,Random,-1,1
1003,draw,0,0
1004,DQN,1,-1
1005,DQN,1,-1
1006,Random,-1,1
1007,draw,0,0
1008,draw,0,0
1009,DQN,1,-1
1010,DQN,1,-1
1011,draw,0,0
1012,DQN,1,-1
1013,draw,0,0
1014,draw,0,0
1015,draw,0,0
1016,draw,0,0
1017,draw,0,0
1018,draw,0,0
1019,DQN,1,-1
1020,DQN,1,-1
1021,DQN,1,-1
1022,Random,-1,1
1023,Random,-1,1
1024,Random,-1,1
1025,DQN,1,-1
1026,DQN,1,-1
1027,Random,-1,1
1028,draw,0,0
1029,DQN,1,-1
1030,Random,-1,1
1031,DQN,1,-1
1032,Random,-1,1
1033,DQN,1,-1
1034,DQN,1,-1
1035,DQN,1,-1
1036,Random,-1,1
1037,Random,-1,1
1038,DQN,1,-1
1039,Random,-1,1
1040,Random,-1,1
1041,DQN,1,-1
1042,DQN,1,-1
1043,draw,0,0
1044,draw,0,0
1045,draw,0,0
1046,draw,0,0
1047,DQN,1,-1
1048,Random,-1,1
1049,Random,-1,1
1050,draw,0,0
1051,Random,-1,1
1052,draw,0,0
1053,draw,0,0
1054,DQN,1,-1
1055,draw,0,0
1056,DQN,1,-1
1057,DQN,1,-1
1058,Random,-1,1
1059,DQN,1,-1
1060,DQN,1,-1
1061,Random,-1,1
1062,draw,0,0
1063,draw,0,0
1064,DQN,1,-1
1065,DQN,1,-1
1066,Random,-1,1
1067,Random,-1,1
1068,Random,-1,1
1069,Random,-1,1
1070,DQN,1,-1
1071,Random,-1,1
1072,draw,0,0
1073,DQN,1,-1
1074,DQN,1,-1
1075,DQN,1,-1
1076,DQN,1,-1
1077,DQN,1,-1
1078,DQN,1,-1
1079,Random,-1,1
1080,draw,0,0
1081,draw,0,0
1082,DQN,1,-1
1083,Random,-1,1
1084,DQN,1,-1
1085,DQN,1,-1
1086,draw,0,0
1087,DQN,1,-1
1088,draw,0,0
1089,DQN,1,-1
1090,Random,-1,1
1091,DQN,1,-1
1092,DQN,1,-1
1093,DQN,1,-1
1094,DQN,1,-1
1095,DQN,1,-1
1096,DQN,1,-1
1097,DQN,1,-1
1098,DQN,1,-1
1099,DQN,1,-1
1100,DQN,1,-1
1101,draw,0,0
1102,DQN,1,-1
1103,Random,-1,1
1104,DQN,1,-1
1105,DQN,1,-1
1106,DQN,1,-1
1107,DQN,1,-1
