episode,winner,DQN,DQN_2
1220,DQN,1,-1
1221,DQN,1,-1
1222,DQN,1,-1
1223,draw,0,0
1224,DQN,1,-1
1225,draw,0,0
1226,DQN,1,-1
1227,DQN,1,-1
1228,draw,0,0
1229,draw,0,0
1230,DQN_2,-1,1
1231,DQN,1,-1
1232,draw,0,0
1233,draw,0,0
1234,draw,0,0
1235,draw,0,0
1236,DQN,1,-1
1237,draw,0,0
1238,draw,0,0
1239,draw,0,0
1240,draw,0,0
1241,draw,0,0
1242,draw,0,0
1243,draw,0,0
1244,draw,0,0
1245,draw,0,0
1246,draw,0,0
1247,DQN_2,-1,1
1248,draw,0,0
1249,draw,0,0
1250,draw,0,0
1251,draw,0,0
1252,draw,0,0
1253,DQN,1,-1
1254,DQN,1,-1
1255,draw,0,0
1256,DQN,1,-1
1257,draw,0,0
1258,draw,0,0
1259,draw,0,0
1260,draw,0,0
1261,draw,0,0
1262,draw,0,0
1263,draw,0,0
1264,draw,0,0
1265,draw,0,0
1266,DQN,1,-1
1267,draw,0,0
1268,draw,0,0
1269,draw,0,0
1270,draw,0,0
1271,draw,0,0
1272,DQN,1,-1
1273,draw,0,0
1274,draw,0,0
1275,DQN,1,-1
1276,draw,0,0
1277,draw,0,0
1278,DQN,1,-1
1279,draw,0,0
1280,draw,0,0
1281,DQN,1,-1
1282,draw,0,0
1283,draw,0,0
1284,draw,0,0
1285,draw,0,0
1286,draw,0,0
1287,draw,0,0
1288,DQN,1,-1
1289,draw,0,0
1290,DQN_2,-1,1
1291,draw,0,0
1292,draw,0,0
1293,DQN,1,-1
1294,DQN_2,-1,1
1295,DQN,1,-1
1296,draw,0,0
1297,draw,0,0
1298,draw,0,0
1299,draw,0,0
1300,DQN,1,-1
1301,DQN,1,-1
1302,DQN,1,-1
1303,DQN,1,-1
1304,DQN,1,-1
1305,DQN,1,-1
1306,draw,0,0
1307,draw,0,0
1308,DQN,1,-1
1309,DQN,1,-1
1310,DQN,1,-1
1311,DQN_2,-1,1
1312,draw,0,0
1313,draw,0,0
1314,draw,0,0
1315,draw,0,0
1316,draw,0,0
1317,draw,0,0
1318,draw,0,0
1319,DQN,1,-1
1320,DQN,1,-1
1321,draw,0,0
1322,DQN_2,-1,1
1323,draw,0,0
1324,draw,0,0
1325,draw,0,0
1326,draw,0,0
1327,draw,0,0
1328,draw,0,0
1329,draw,0,0
1330,DQN_2,-1,1
1331,DQN_2,-1,1
1332,DQN,1,-1
1333,draw,0,0
1334,DQN_2,-1,1
1335,DQN_2,-1,1
1336,draw,0,0
1337,draw,0,0
1338,draw,0,0
1339,draw,0,0
1340,draw,0,0
1341,DQN_2,-1,1
1342,DQN,1,-1
1343,DQN,1,-1
1344,draw,0,0
1345,draw,0,0
1346,draw,0,0
1347,draw,0,0
1348,draw,0,0
1349,draw,0,0
1350,draw,0,0
1351,DQN,1,-1
1352,draw,0,0
1353,draw,0,0
1354,draw,0,0
1355,draw,0,0
1356,draw,0,0
1357,DQN,1,-1
1358,DQN_2,-1,1
1359,draw,0,0
1360,draw,0,0
1361,DQN,1,-1
1362,DQN,1,-1
1363,DQN_2,-1,1
1364,DQN,1,-1
1365,DQN,1,-1
1366,draw,0,0
1367,DQN,1,-1
1368,draw,0,0
1369,draw,0,0
1370,DQN,1,-1
1371,draw,0,0
1372,draw,0,0
1373,draw,0,0
