episode,winner,PHC,PHC_2
526,PHC_2,-1,1
527,PHC,1,-1
528,PHC_2,-1,1
529,PHC_2,-1,1
530,PHC,1,-1
531,PHC,1,-1
532,PHC_2,-1,1
533,PHC,1,-1
534,PHC,1,-1
535,PHC_2,-1,1
536,PHC_2,-1,1
537,PHC,1,-1
538,PHC,1,-1
539,PHC,1,-1
540,PHC,1,-1
541,PHC,1,-1
542,PHC,1,-1
543,PHC,1,-1
544,PHC_2,-1,1
545,PHC,1,-1
546,PHC,1,-1
547,PHC,1,-1
548,PHC,1,-1
549,PHC_2,-1,1
550,PHC,1,-1
551,PHC,1,-1
552,PHC,1,-1
553,PHC,1,-1
554,PHC,1,-1
555,PHC,1,-1
556,PHC_2,-1,1
557,PHC_2,-1,1
558,PHC,1,-1
559,PHC_2,-1,1
560,PHC,1,-1
561,PHC_2,-1,1
562,PHC_2,-1,1
563,PHC,1,-1
564,PHC_2,-1,1
565,PHC,1,-1
566,PHC,1,-1
567,PHC_2,-1,1
568,PHC_2,-1,1
569,PHC,1,-1
570,PHC,1,-1
571,PHC,1,-1
572,PHC_2,-1,1
573,PHC,1,-1
574,PHC,1,-1
575,PHC,1,-1
576,PHC,1,-1
577,PHC,1,-1
578,PHC_2,-1,1
579,PHC,1,-1
580,PHC_2,-1,1
581,PHC_2,-1,1
582,PHC,1,-1
583,PHC,1,-1
584,PHC,1,-1
585,PHC,1,-1
586,PHC,1,-1
587,PHC_2,-1,1
588,PHC_2,-1,1
589,PHC_2,-1,1
590,PHC_2,-1,1
591,PHC_2,-1,1
592,PHC_2,-1,1
593,PHC_2,-1,1
594,PHC,1,-1
595,PHC_2,-1,1
596,PHC_2,-1,1
597,PHC,1,-1
598,PHC,1,-1
599,PHC_2,-1,1
600,PHC,1,-1
601,PHC,1,-1
602,PHC_2,-1,1
603,PHC,1,-1
604,PHC,1,-1
605,PHC_2,-1,1
606,PHC_2,-1,1
607,PHC,1,-1
608,PHC,1,-1
609,PHC_2,-1,1
610,PHC,1,-1
611,PHC_2,-1,1
612,PHC,1,-1
613,PHC,1,-1
614,PHC,1,-1
615,PHC_2,-1,1
616,PHC,1,-1
617,PHC,1,-1
618,PHC,1,-1
619,PHC_2,-1,1
620,PHC,1,-1
621,PHC,1,-1
622,PHC,1,-1
623,PHC,1,-1
624,PHC_2,-1,1
625,PHC,1,-1
626,PHC,1,-1
627,PHC,1,-1
628,PHC,1,-1
629,PHC,1,-1
630,PHC_2,-1,1
631,PHC_2,-1,1
632,PHC,1,-1
633,PHC_2,-1,1
634,PHC_2,-1,1
635,PHC,1,-1
636,PHC,1,-1
637,PHC,1,-1
638,PHC,1,-1
639,PHC,1,-1
640,PHC_2,-1,1
641,PHC_2,-1,1
642,PHC_2,-1,1
643,PHC,1,-1
644,PHC_2,-1,1
645,PHC,1,-1
646,PHC,1,-1
647,PHC,1,-1
648,PHC,1,-1
649,PHC_2,-1,1
650,PHC,1,-1
651,PHC,1,-1
652,PHC_2,-1,1
653,PHC_2,-1,1
654,PHC_2,-1,1
655,PHC_2,-1,1
656,PHC,1,-1
657,PHC_2,-1,1
658,PHC,1,-1
659,PHC_2,-1,1
660,PHC_2,-1,1
661,PHC,1,-1
662,PHC_2,-1,1
663,PHC_2,-1,1
664,PHC,1,-1
665,PHC,1,-1
666,PHC_2,-1,1
667,PHC,1,-1
668,PHC,1,-1
669,PHC,1,-1
670,PHC,1,-1
671,PHC,1,-1
672,PHC_2,-1,1
673,PHC,1,-1
674,PHC_2,-1,1
675,PHC,1,-1
676,PHC,1,-1
677,PHC_2,-1,1
678,PHC,1,-1
679,PHC,1,-1
680,PHC_2,-1,1
681,PHC_2,-1,1
682,PHC,1,-1
683,PHC,1,-1
684,PHC_2,-1,1
685,PHC,1,-1
686,PHC,1,-1
687,PHC,1,-1
688,PHC_2,-1,1
689,PHC,1,-1
690,PHC,1,-1
691,PHC,1,-1
692,PHC_2,-1,1
693,PHC_2,-1,1
694,PHC_2,-1,1
695,PHC,1,-1
696,PHC_2,-1,1
697,PHC_2,-1,1
698,PHC,1,-1
699,PHC_2,-1,1
700,PHC,1,-1
701,PHC,1,-1
702,PHC_2,-1,1
703,PHC_2,-1,1
704,PHC,1,-1
705,PHC,1,-1
706,PHC_2,-1,1
707,PHC_2,-1,1
708,PHC,1,-1
709,PHC,1,-1
710,PHC,1,-1
711,PHC,1,-1
712,PHC,1,-1
713,PHC_2,-1,1
714,PHC_2,-1,1
715,PHC,1,-1
716,PHC_2,-1,1
717,PHC,1,-1
718,PHC_2,-1,1
719,PHC_2,-1,1
720,PHC_2,-1,1
721,PHC,1,-1
722,PHC,1,-1
723,PHC,1,-1
724,PHC,1,-1
725,PHC_2,-1,1
726,PHC,1,-1
727,PHC,1,-1
728,PHC,1,-1
729,PHC,1,-1
730,PHC,1,-1
731,PHC,1,-1
732,PHC,1,-1
733,PHC_2,-1,1
734,PHC,1,-1
735,PHC,1,-1
736,PHC_2,-1,1
737,PHC_2,-1,1
738,PHC,1,-1
739,PHC_2,-1,1
740,PHC,1,-1
741,PHC,1,-1
742,PHC,1,-1
743,PHC_2,-1,1
744,PHC_2,-1,1
745,PHC,1,-1
746,PHC_2,-1,1
747,PHC,1,-1
748,PHC,1,-1
749,PHC,1,-1
750,PHC,1,-1
751,PHC_2,-1,1
752,PHC_2,-1,1
753,PHC,1,-1
754,PHC_2,-1,1
755,PHC_2,-1,1
756,PHC,1,-1
757,PHC,1,-1
758,PHC,1,-1
759,PHC,1,-1
760,PHC,1,-1
761,PHC,1,-1
762,PHC,1,-1
763,PHC,1,-1
764,PHC,1,-1
765,PHC,1,-1
766,PHC,1,-1
767,PHC,1,-1
768,PHC_2,-1,1
769,PHC,1,-1
770,PHC_2,-1,1
771,PHC,1,-1
772,PHC,1,-1
773,PHC,1,-1
774,PHC,1,-1
775,PHC_2,-1,1
776,PHC,1,-1
777,PHC_2,-1,1
778,PHC_2,-1,1
779,PHC,1,-1
780,PHC,1,-1
781,PHC_2,-1,1
782,PHC,1,-1
783,PHC,1,-1
784,PHC_2,-1,1
785,PHC,1,-1
786,PHC,1,-1
787,PHC,1,-1
788,PHC_2,-1,1
