episode,winner,DQN_A,DQN_B
596,draw,0,0
597,DQN_B,-1,1
598,draw,0,0
599,draw,0,0
600,draw,0,0
601,draw,0,0
602,DQN_A,1,-1
603,draw,0,0
604,draw,0,0
605,draw,0,0
606,DQN_B,-1,1
607,draw,0,0
608,DQN_A,1,-1
609,draw,0,0
610,draw,0,0
611,draw,0,0
612,DQN_B,-1,1
613,DQN_B,-1,1
614,DQN_B,-1,1
615,DQN_B,-1,1
616,DQN_B,-1,1
617,DQN_B,-1,1
618,draw,0,0
619,draw,0,0
620,DQN_B,-1,1
621,draw,0,0
622,draw,0,0
623,draw,0,0
624,draw,0,0
625,DQN_B,-1,1
626,draw,0,0
627,draw,0,0
628,draw,0,0
629,draw,0,0
630,draw,0,0
631,draw,0,0
632,draw,0,0
633,draw,0,0
634,draw,0,0
635,draw,0,0
636,draw,0,0
637,draw,0,0
638,draw,0,0
639,draw,0,0
640,draw,0,0
641,draw,0,0
642,draw,0,0
643,draw,0,0
644,draw,0,0
645,draw,0,0
646,draw,0,0
647,draw,0,0
648,draw,0,0
649,draw,0,0
650,draw,0,0
651,draw,0,0
652,draw,0,0
653,DQN_A,1,-1
654,draw,0,0
655,draw,0,0
656,draw,0,0
657,draw,0,0
658,draw,0,0
659,draw,0,0
660,draw,0,0
661,draw,0,0
662,draw,0,0
663,draw,0,0
664,draw,0,0
665,draw,0,0
666,draw,0,0
667,DQN_B,-1,1
668,DQN_B,-1,1
669,DQN_B,-1,1
670,draw,0,0
671,draw,0,0
672,draw,0,0
673,draw,0,0
674,draw,0,0
675,draw,0,0
676,draw,0,0
677,draw,0,0
678,DQN_A,1,-1
679,DQN_A,1,-1
680,draw,0,0
681,draw,0,0
682,draw,0,0
683,draw,0,0
684,draw,0,0
685,draw,0,0
686,DQN_B,-1,1
687,draw,0,0
688,draw,0,0
689,DQN_B,-1,1
690,DQN_B,-1,1
691,draw,0,0
692,draw,0,0
693,draw,0,0
694,draw,0,0
695,DQN_A,1,-1
696,DQN_B,-1,1
697,draw,0,0
698,DQN_A,1,-1
699,draw,0,0
700,DQN_B,-1,1
701,draw,0,0
702,DQN_A,1,-1
703,DQN_A,1,-1
704,DQN_B,-1,1
705,DQN_B,-1,1
706,DQN_A,1,-1
707,DQN_B,-1,1
708,DQN_A,1,-1
709,DQN_B,-1,1
710,DQN_A,1,-1
711,draw,0,0
712,DQN_B,-1,1
713,DQN_A,1,-1
714,draw,0,0
715,draw,0,0
716,DQN_B,-1,1
717,draw,0,0
718,DQN_A,1,-1
719,draw,0,0
720,draw,0,0
721,draw,0,0
722,draw,0,0
723,draw,0,0
724,draw,0,0
725,DQN_B,-1,1
726,draw,0,0
727,DQN_B,-1,1
728,DQN_B,-1,1
729,draw,0,0
730,DQN_B,-1,1
731,draw,0,0
732,draw,0,0
733,draw,0,0
734,draw,0,0
735,DQN_B,-1,1
736,draw,0,0
737,DQN_A,1,-1
738,draw,0,0
739,DQN_B,-1,1
740,DQN_A,1,-1
741,DQN_A,1,-1
742,DQN_B,-1,1
743,DQN_A,1,-1
744,DQN_A,1,-1
745,DQN_B,-1,1
746,draw,0,0
747,draw,0,0
748,DQN_A,1,-1
749,DQN_A,1,-1
750,draw,0,0
751,DQN_B,-1,1
752,draw,0,0
753,draw,0,0
754,DQN_B,-1,1
755,draw,0,0
756,draw,0,0
757,DQN_A,1,-1
758,draw,0,0
759,draw,0,0
760,draw,0,0
761,draw,0,0
762,draw,0,0
763,draw,0,0
764,draw,0,0
765,DQN_B,-1,1
766,draw,0,0
767,draw,0,0
768,DQN_B,-1,1
769,draw,0,0
770,DQN_A,1,-1
771,draw,0,0
772,DQN_A,1,-1
773,DQN_A,1,-1
774,DQN_B,-1,1
775,DQN_B,-1,1
776,DQN_B,-1,1
777,DQN_A,1,-1
778,DQN_B,-1,1
779,draw,0,0
780,DQN_B,-1,1
781,draw,0,0
782,DQN_B,-1,1
783,draw,0,0
784,DQN_B,-1,1
785,draw,0,0
786,draw,0,0
787,draw,0,0
788,DQN_A,1,-1
789,draw,0,0
790,draw,0,0
791,DQN_B,-1,1
792,draw,0,0
793,DQN_B,-1,1
794,DQN_B,-1,1
795,DQN_B,-1,1
796,DQN_B,-1,1
797,draw,0,0
798,DQN_B,-1,1
799,DQN_B,-1,1
800,DQN_B,-1,1
801,draw,0,0
802,DQN_B,-1,1
803,DQN_A,1,-1
804,DQN_A,1,-1
805,DQN_B,-1,1
806,draw,0,0
807,draw,0,0
808,draw,0,0
809,DQN_B,-1,1
810,DQN_A,1,-1
811,draw,0,0
812,DQN_A,1,-1
813,draw,0,0
814,draw,0,0
815,draw,0,0
816,draw,0,0
817,DQN_B,-1,1
818,DQN_B,-1,1
819,draw,0,0
820,DQN_B,-1,1
821,draw,0,0
822,draw,0,0
823,DQN_A,1,-1
824,draw,0,0
825,DQN_B,-1,1
826,draw,0,0
827,draw,0,0
828,draw,0,0
829,draw,0,0
830,draw,0,0
831,draw,0,0
832,DQN_B,-1,1
833,draw,0,0
834,DQN_B,-1,1
835,draw,0,0
836,draw,0,0
837,draw,0,0
838,DQN_B,-1,1
839,DQN_B,-1,1
840,draw,0,0
841,draw,0,0
842,DQN_B,-1,1
843,draw,0,0
844,draw,0,0
845,draw,0,0
846,draw,0,0
847,draw,0,0
848,draw,0,0
849,draw,0,0
850,draw,0,0
851,draw,0,0
852,draw,0,0
853,draw,0,0
854,draw,0,0
855,draw,0,0
856,draw,0,0
857,draw,0,0
858,draw,0,0
859,draw,0,0
860,draw,0,0
861,DQN_B,-1,1
862,draw,0,0
863,DQN_B,-1,1
864,draw,0,0
865,draw,0,0
866,draw,0,0
867,DQN_A,1,-1
868,draw,0,0
869,draw,0,0
870,draw,0,0
871,DQN_B,-1,1
872,draw,0,0
873,draw,0,0
874,DQN_B,-1,1
875,draw,0,0
876,DQN_A,1,-1
877,draw,0,0
878,draw,0,0
879,draw,0,0
880,draw,0,0
881,draw,0,0
882,DQN_B,-1,1
883,DQN_B,-1,1
884,draw,0,0
885,draw,0,0
886,draw,0,0
887,draw,0,0
888,draw,0,0
889,draw,0,0
890,draw,0,0
891,draw,0,0
892,draw,0,0
893,draw,0,0
894,DQN_B,-1,1
895,draw,0,0
896,DQN_B,-1,1
897,draw,0,0
898,draw,0,0
899,draw,0,0
900,draw,0,0
901,draw,0,0
902,draw,0,0
903,draw,0,0
904,draw,0,0
905,DQN_A,1,-1
906,draw,0,0
907,draw,0,0
908,draw,0,0
909,draw,0,0
910,draw,0,0
911,draw,0,0
912,DQN_B,-1,1
913,DQN_B,-1,1
914,DQN_B,-1,1
915,draw,0,0
916,DQN_B,-1,1
917,draw,0,0
918,draw,0,0
919,draw,0,0
920,draw,0,0
921,draw,0,0
922,draw,0,0
923,draw,0,0
924,draw,0,0
925,draw,0,0
926,draw,0,0
927,draw,0,0
928,draw,0,0
929,draw,0,0
930,draw,0,0
931,draw,0,0
932,draw,0,0
933,draw,0,0
934,draw,0,0
935,draw,0,0
936,draw,0,0
937,draw,0,0
938,draw,0,0
939,draw,0,0
940,draw,0,0
941,draw,0,0
942,draw,0,0
943,draw,0,0
944,draw,0,0
945,draw,0,0
946,draw,0,0
947,draw,0,0
948,draw,0,0
949,draw,0,0
950,draw,0,0
951,DQN_A,1,-1
952,draw,0,0
953,draw,0,0
954,draw,0,0
955,DQN_A,1,-1
956,draw,0,0
957,draw,0,0
958,draw,0,0
959,draw,0,0
960,DQN_A,1,-1
961,draw,0,0
962,draw,0,0
963,draw,0,0
964,DQN_A,1,-1
965,DQN_A,1,-1
966,draw,0,0
967,DQN_B,-1,1
968,draw,0,0
969,draw,0,0
970,draw,0,0
971,DQN_B,-1,1
972,DQN_B,-1,1
973,DQN_B,-1,1
974,draw,0,0
975,draw,0,0
976,DQN_A,1,-1
977,draw,0,0
978,draw,0,0
979,draw,0,0
980,draw,0,0
981,draw,0,0
982,draw,0,0
983,draw,0,0
984,draw,0,0
985,draw,0,0
986,DQN_B,-1,1
987,draw,0,0
988,draw,0,0
989,draw,0,0
990,DQN_A,1,-1
991,draw,0,0
992,draw,0,0
993,draw,0,0
994,DQN_B,-1,1
995,DQN_A,1,-1
996,draw,0,0
997,DQN_A,1,-1
998,DQN_B,-1,1
999,DQN_B,-1,1
1000,DQN_B,-1,1
