episode,winner,MinimaxQ,Random
1186,draw,0,0
1187,draw,0,0
1188,MinimaxQ,1,-1
1189,draw,0,0
1190,draw,0,0
1191,draw,0,0
1192,draw,0,0
1193,draw,0,0
1194,Random,-1,1
1195,draw,0,0
1196,MinimaxQ,1,-1
1197,Random,-1,1
1198,MinimaxQ,1,-1
1199,draw,0,0
1200,Random,-1,1
1201,draw,0,0
1202,MinimaxQ,1,-1
1203,draw,0,0
1204,draw,0,0
1205,Random,-1,1
1206,MinimaxQ,1,-1
1207,MinimaxQ,1,-1
1208,draw,0,0
1209,Random,-1,1
1210,draw,0,0
1211,draw,0,0
1212,draw,0,0
1213,Random,-1,1
1214,draw,0,0
1215,draw,0,0
1216,draw,0,0
1217,draw,0,0
1218,draw,0,0
1219,draw,0,0
1220,MinimaxQ,1,-1
1221,MinimaxQ,1,-1
1222,Random,-1,1
1223,MinimaxQ,1,-1
1224,draw,0,0
1225,draw,0,0
1226,draw,0,0
1227,MinimaxQ,1,-1
1228,draw,0,0
1229,MinimaxQ,1,-1
1230,draw,0,0
1231,draw,0,0
1232,Random,-1,1
1233,draw,0,0
1234,draw,0,0
1235,draw,0,0
1236,MinimaxQ,1,-1
1237,Random,-1,1
1238,Random,-1,1
1239,Random,-1,1
1240,draw,0,0
1241,MinimaxQ,1,-1
1242,draw,0,0
1243,draw,0,0
1244,draw,0,0
1245,Random,-1,1
1246,MinimaxQ,1,-1
1247,MinimaxQ,1,-1
1248,draw,0,0
1249,draw,0,0
1250,draw,0,0
1251,draw,0,0
1252,draw,0,0
1253,MinimaxQ,1,-1
1254,draw,0,0
1255,draw,0,0
1256,Random,-1,1
1257,Random,-1,1
1258,MinimaxQ,1,-1
1259,draw,0,0
1260,MinimaxQ,1,-1
1261,draw,0,0
1262,Random,-1,1
1263,draw,0,0
1264,draw,0,0
1265,MinimaxQ,1,-1
1266,MinimaxQ,1,-1
1267,Random,-1,1
1268,draw,0,0
1269,Random,-1,1
1270,draw,0,0
1271,draw,0,0
1272,Random,-1,1
1273,draw,0,0
1274,MinimaxQ,1,-1
1275,Random,-1,1
1276,MinimaxQ,1,-1
1277,Random,-1,1
1278,draw,0,0
1279,draw,0,0
1280,draw,0,0
1281,MinimaxQ,1,-1
1282,MinimaxQ,1,-1
1283,draw,0,0
1284,Random,-1,1
1285,MinimaxQ,1,-1
1286,draw,0,0
1287,draw,0,0
1288,draw,0,0
1289,draw,0,0
1290,draw,0,0
1291,Random,-1,1
1292,draw,0,0
1293,draw,0,0
1294,draw,0,0
1295,Random,-1,1
1296,draw,0,0
1297,MinimaxQ,1,-1
1298,MinimaxQ,1,-1
1299,draw,0,0
1300,draw,0,0
1301,draw,0,0
1302,draw,0,0
1303,MinimaxQ,1,-1
1304,MinimaxQ,1,-1
1305,draw,0,0
1306,MinimaxQ,1,-1
1307,draw,0,0
1308,draw,0,0
1309,draw,0,0
1310,draw,0,0
1311,Random,-1,1
1312,draw,0,0
1313,draw,0,0
1314,draw,0,0
1315,Random,-1,1
1316,draw,0,0
1317,Random,-1,1
1318,draw,0,0
1319,Random,-1,1
1320,MinimaxQ,1,-1
1321,Random,-1,1
1322,draw,0,0
1323,draw,0,0
1324,draw,0,0
1325,MinimaxQ,1,-1
1326,draw,0,0
1327,draw,0,0
1328,draw,0,0
1329,draw,0,0
1330,draw,0,0
1331,draw,0,0
1332,draw,0,0
1333,Random,-1,1
1334,Random,-1,1
1335,draw,0,0
1336,draw,0,0
1337,Random,-1,1
1338,draw,0,0
1339,draw,0,0
1340,Random,-1,1
1341,draw,0,0
1342,draw,0,0
1343,draw,0,0
1344,draw,0,0
1345,draw,0,0
1346,draw,0,0
1347,Random,-1,1
1348,MinimaxQ,1,-1
1349,draw,0,0
