episode,winner,NashQ,Random
1360,Random,-1,1
1361,Random,-1,1
1362,Random,-1,1
1363,draw,0,0
1364,Random,-1,1
1365,draw,0,0
1366,Random,-1,1
1367,draw,0,0
1368,Random,-1,1
1369,Random,-1,1
1370,draw,0,0
1371,Random,-1,1
1372,Random,-1,1
1373,Random,-1,1
1374,NashQ,1,-1
1375,draw,0,0
1376,Random,-1,1
1377,Random,-1,1
1378,Random,-1,1
1379,draw,0,0
1380,Random,-1,1
1381,draw,0,0
1382,draw,0,0
1383,Random,-1,1
1384,draw,0,0
1385,Random,-1,1
1386,draw,0,0
1387,draw,0,0
1388,draw,0,0
1389,NashQ,1,-1
