episode,winner,PHC,Random
714,Random,-1,1
715,Random,-1,1
716,Random,-1,1
717,PHC,1,-1
718,PHC,1,-1
719,Random,-1,1
720,PHC,1,-1
721,PHC,1,-1
722,PHC,1,-1
723,PHC,1,-1
724,PHC,1,-1
725,Random,-1,1
726,Random,-1,1
727,Random,-1,1
728,PHC,1,-1
729,Random,-1,1
730,Random,-1,1
731,PHC,1,-1
732,PHC,1,-1
733,PHC,1,-1
734,PHC,1,-1
735,Random,-1,1
736,Random,-1,1
737,PHC,1,-1
738,Random,-1,1
739,PHC,1,-1
740,Random,-1,1
741,PHC,1,-1
742,PHC,1,-1
743,PHC,1,-1
744,Random,-1,1
745,PHC,1,-1
746,PHC,1,-1
747,PHC,1,-1
748,Random,-1,1
749,PHC,1,-1
750,PHC,1,-1
751,Random,-1,1
752,Random,-1,1
753,PHC,1,-1
754,PHC,1,-1
755,Random,-1,1
756,PHC,1,-1
757,PHC,1,-1
758,PHC,1,-1
759,PHC,1,-1
760,Random,-1,1
761,Random,-1,1
762,PHC,1,-1
763,Random,-1,1
764,Random,-1,1
765,PHC,1,-1
766,Random,-1,1
767,PHC,1,-1
768,Random,-1,1
769,PHC,1,-1
770,Random,-1,1
771,Random,-1,1
772,PHC,1,-1
773,PHC,1,-1
774,PHC,1,-1
775,PHC,1,-1
776,Random,-1,1
777,PHC,1,-1
778,PHC,1,-1
779,PHC,1,-1
780,Random,-1,1
781,PHC,1,-1
782,PHC,1,-1
783,PHC,1,-1
784,PHC,1,-1
785,PHC,1,-1
786,PHC,1,-1
787,PHC,1,-1
788,PHC,1,-1
789,PHC,1,-1
790,PHC,1,-1
791,PHC,1,-1
792,PHC,1,-1
793,PHC,1,-1
794,PHC,1,-1
795,PHC,1,-1
796,Random,-1,1
797,Random,-1,1
798,PHC,1,-1
799,PHC,1,-1
800,PHC,1,-1
801,Random,-1,1
802,PHC,1,-1
803,PHC,1,-1
804,Random,-1,1
805,PHC,1,-1
806,PHC,1,-1
807,PHC,1,-1
808,PHC,1,-1
809,Random,-1,1
810,Random,-1,1
811,PHC,1,-1
812,Random,-1,1
813,Random,-1,1
814,PHC,1,-1
815,Random,-1,1
816,PHC,1,-1
817,PHC,1,-1
818,PHC,1,-1
819,Random,-1,1
820,Random,-1,1
821,PHC,1,-1
822,PHC,1,-1
823,PHC,1,-1
824,PHC,1,-1
825,PHC,1,-1
826,Random,-1,1
827,PHC,1,-1
828,Random,-1,1
829,PHC,1,-1
830,PHC,1,-1
831,PHC,1,-1
832,Random,-1,1
833,Random,-1,1
834,PHC,1,-1
835,draw,0,0
836,PHC,1,-1
837,PHC,1,-1
838,PHC,1,-1
839,PHC,1,-1
840,Random,-1,1
841,PHC,1,-1
842,Random,-1,1
843,PHC,1,-1
844,PHC,1,-1
845,Random,-1,1
846,PHC,1,-1
847,PHC,1,-1
848,PHC,1,-1
849,PHC,1,-1
850,PHC,1,-1
851,Random,-1,1
852,Random,-1,1
853,PHC,1,-1
854,PHC,1,-1
855,PHC,1,-1
856,PHC,1,-1
857,PHC,1,-1
858,Random,-1,1
859,PHC,1,-1
860,PHC,1,-1
861,PHC,1,-1
862,PHC,1,-1
863,PHC,1,-1
864,PHC,1,-1
865,PHC,1,-1
866,PHC,1,-1
867,PHC,1,-1
868,PHC,1,-1
869,Random,-1,1
870,Random,-1,1
871,PHC,1,-1
872,PHC,1,-1
873,PHC,1,-1
874,PHC,1,-1
875,Random,-1,1
876,PHC,1,-1
877,PHC,1,-1
878,PHC,1,-1
879,PHC,1,-1
880,PHC,1,-1
881,PHC,1,-1
882,PHC,1,-1
883,PHC,1,-1
884,PHC,1,-1
885,PHC,1,-1
886,Random,-1,1
887,PHC,1,-1
888,PHC,1,-1
889,PHC,1,-1
890,PHC,1,-1
891,PHC,1,-1
892,PHC,1,-1
893,Random,-1,1
894,PHC,1,-1
895,PHC,1,-1
896,PHC,1,-1
897,PHC,1,-1
898,PHC,1,-1
899,PHC,1,-1
900,PHC,1,-1
901,PHC,1,-1
902,Random,-1,1
903,Random,-1,1
904,PHC,1,-1
905,PHC,1,-1
906,Random,-1,1
907,PHC,1,-1
908,PHC,1,-1
909,PHC,1,-1
910,PHC,1,-1
911,PHC,1,-1
912,PHC,1,-1
913,PHC,1,-1
914,PHC,1,-1
915,PHC,1,-1
916,Random,-1,1
917,PHC,1,-1
918,Random,-1,1
919,Random,-1,1
920,PHC,1,-1
921,PHC,1,-1
922,PHC,1,-1
923,Random,-1,1
924,PHC,1,-1
925,PHC,1,-1
926,PHC,1,-1
927,PHC,1,-1
928,PHC,1,-1
929,PHC,1,-1
930,PHC,1,-1
931,Random,-1,1
932,PHC,1,-1
933,Random,-1,1
934,PHC,1,-1
935,PHC,1,-1
936,PHC,1,-1
937,PHC,1,-1
938,Random,-1,1
939,PHC,1,-1
940,PHC,1,-1
941,Random,-1,1
942,Random,-1,1
943,PHC,1,-1
944,Random,-1,1
945,Random,-1,1
946,PHC,1,-1
947,PHC,1,-1
948,PHC,1,-1
949,PHC,1,-1
950,PHC,1,-1
951,PHC,1,-1
952,PHC,1,-1
953,PHC,1,-1
954,PHC,1,-1
955,PHC,1,-1
956,PHC,1,-1
957,PHC,1,-1
958,PHC,1,-1
959,PHC,1,-1
960,PHC,1,-1
961,Random,-1,1
962,PHC,1,-1
963,Random,-1,1
964,Random,-1,1
965,PHC,1,-1
966,Random,-1,1
967,PHC,1,-1
968,PHC,1,-1
969,PHC,1,-1
970,Random,-1,1
971,PHC,1,-1
972,Random,-1,1
973,Random,-1,1
974,PHC,1,-1
975,PHC,1,-1
976,Random,-1,1
977,Random,-1,1
978,PHC,1,-1
979,PHC,1,-1
980,PHC,1,-1
981,PHC,1,-1
982,Random,-1,1
983,PHC,1,-1
984,Random,-1,1
985,Random,-1,1
986,Random,-1,1
987,PHC,1,-1
988,Random,-1,1
989,PHC,1,-1
990,Random,-1,1
991,PHC,1,-1
992,PHC,1,-1
993,PHC,1,-1
994,Random,-1,1
995,PHC,1,-1
996,PHC,1,-1
997,PHC,1,-1
998,Random,-1,1
999,PHC,1,-1
1000,PHC,1,-1
1001,Random,-1,1
1002,PHC,1,-1
1003,Random,-1,1
1004,Random,-1,1
1005,PHC,1,-1
1006,Random,-1,1
1007,PHC,1,-1
1008,PHC,1,-1
1009,PHC,1,-1
1010,PHC,1,-1
1011,PHC,1,-1
1012,Random,-1,1
1013,Random,-1,1
1014,Random,-1,1
1015,PHC,1,-1
1016,PHC,1,-1
1017,Random,-1,1
1018,PHC,1,-1
1019,PHC,1,-1
1020,PHC,1,-1
1021,PHC,1,-1
1022,PHC,1,-1
1023,PHC,1,-1
1024,Random,-1,1
1025,Random,-1,1
1026,Random,-1,1
1027,PHC,1,-1
1028,Random,-1,1
1029,Random,-1,1
1030,PHC,1,-1
1031,PHC,1,-1
1032,Random,-1,1
1033,PHC,1,-1
1034,Random,-1,1
1035,PHC,1,-1
1036,PHC,1,-1
1037,Random,-1,1
1038,draw,0,0
1039,PHC,1,-1
1040,Random,-1,1
1041,Random,-1,1
1042,PHC,1,-1
1043,Random,-1,1
1044,PHC,1,-1
1045,Random,-1,1
1046,PHC,1,-1
1047,PHC,1,-1
1048,PHC,1,-1
1049,PHC,1,-1
1050,Random,-1,1
1051,PHC,1,-1
1052,PHC,1,-1
1053,PHC,1,-1
1054,Random,-1,1
1055,PHC,1,-1
1056,Random,-1,1
1057,PHC,1,-1
1058,PHC,1,-1
1059,PHC,1,-1
1060,PHC,1,-1
1061,Random,-1,1
1062,Random,-1,1
1063,PHC,1,-1
1064,PHC,1,-1
1065,PHC,1,-1
1066,PHC,1,-1
1067,PHC,1,-1
1068,PHC,1,-1
1069,Random,-1,1
1070,PHC,1,-1
1071,Random,-1,1
1072,PHC,1,-1
1073,PHC,1,-1
1074,PHC,1,-1
1075,PHC,1,-1
1076,PHC,1,-1
1077,PHC,1,-1
1078,PHC,1,-1
1079,PHC,1,-1
1080,Random,-1,1
1081,PHC,1,-1
1082,PHC,1,-1
1083,Random,-1,1
1084,Random,-1,1
1085,PHC,1,-1
1086,PHC,1,-1
1087,PHC,1,-1
1088,Random,-1,1
1089,Random,-1,1
1090,Random,-1,1
1091,PHC,1,-1
1092,PHC,1,-1
1093,PHC,1,-1
1094,PHC,1,-1
1095,Random,-1,1
1096,PHC,1,-1
1097,PHC,1,-1
1098,PHC,1,-1
1099,Random,-1,1
1100,Random,-1,1
1101,PHC,1,-1
1102,PHC,1,-1
1103,PHC,1,-1
1104,Random,-1,1
1105,Random,-1,1
1106,PHC,1,-1
1107,Random,-1,1
1108,Random,-1,1
1109,PHC,1,-1
1110,PHC,1,-1
1111,PHC,1,-1
1112,PHC,1,-1
1113,PHC,1,-1
1114,Random,-1,1
1115,PHC,1,-1
1116,PHC,1,-1
1117,PHC,1,-1
1118,PHC,1,-1
1119,PHC,1,-1
1120,PHC,1,-1
1121,Random,-1,1
1122,PHC,1,-1
1123,PHC,1,-1
1124,Random,-1,1
1125,PHC,1,-1
1126,Random,-1,1
1127,PHC,1,-1
1128,Random,-1,1
1129,PHC,1,-1
1130,PHC,1,-1
1131,PHC,1,-1
1132,Random,-1,1
1133,PHC,1,-1
1134,PHC,1,-1
1135,PHC,1,-1
1136,PHC,1,-1
1137,PHC,1,-1
1138,Random,-1,1
1139,PHC,1,-1
1140,PHC,1,-1
1141,PHC,1,-1
1142,PHC,1,-1
1143,PHC,1,-1
1144,PHC,1,-1
1145,PHC,1,-1
1146,Random,-1,1
1147,PHC,1,-1
1148,PHC,1,-1
1149,PHC,1,-1
1150,PHC,1,-1
1151,Random,-1,1
1152,PHC,1,-1
1153,PHC,1,-1
1154,PHC,1,-1
1155,PHC,1,-1
1156,PHC,1,-1
1157,PHC,1,-1
1158,Random,-1,1
1159,Random,-1,1
1160,Random,-1,1
1161,PHC,1,-1
1162,PHC,1,-1
1163,Random,-1,1
1164,PHC,1,-1
1165,PHC,1,-1
1166,Random,-1,1
1167,Random,-1,1
1168,Random,-1,1
1169,PHC,1,-1
1170,PHC,1,-1
1171,Random,-1,1
1172,PHC,1,-1
1173,Random,-1,1
1174,Random,-1,1
1175,Random,-1,1
1176,PHC,1,-1
1177,PHC,1,-1
1178,Random,-1,1
1179,PHC,1,-1
1180,PHC,1,-1
1181,PHC,1,-1
1182,PHC,1,-1
1183,PHC,1,-1
1184,Random,-1,1
1185,PHC,1,-1
1186,PHC,1,-1
1187,PHC,1,-1
1188,PHC,1,-1
1189,PHC,1,-1
1190,PHC,1,-1
1191,Random,-1,1
1192,PHC,1,-1
1193,Random,-1,1
1194,Random,-1,1
1195,PHC,1,-1
1196,Random,-1,1
1197,PHC,1,-1
1198,PHC,1,-1
1199,Random,-1,1
1200,PHC,1,-1
1201,Random,-1,1
1202,PHC,1,-1
1203,Random,-1,1
1204,PHC,1,-1
1205,PHC,1,-1
1206,PHC,1,-1
1207,PHC,1,-1
1208,Random,-1,1
1209,PHC,1,-1
1210,PHC,1,-1
1211,Random,-1,1
1212,PHC,1,-1
1213,PHC,1,-1
1214,PHC,1,-1
1215,Random,-1,1
1216,PHC,1,-1
1217,PHC,1,-1
1218,PHC,1,-1
1219,PHC,1,-1
1220,Random,-1,1
1221,PHC,1,-1
1222,PHC,1,-1
1223,PHC,1,-1
1224,Random,-1,1
1225,PHC,1,-1
1226,Random,-1,1
1227,PHC,1,-1
1228,Random,-1,1
1229,PHC,1,-1
1230,PHC,1,-1
1231,Random,-1,1
1232,PHC,1,-1
1233,Random,-1,1
1234,PHC,1,-1
1235,Random,-1,1
1236,PHC,1,-1
1237,PHC,1,-1
1238,Random,-1,1
1239,Random,-1,1
1240,PHC,1,-1
1241,Random,-1,1
1242,PHC,1,-1
1243,PHC,1,-1
1244,PHC,1,-1
1245,Random,-1,1
1246,PHC,1,-1
1247,PHC,1,-1
1248,PHC,1,-1
1249,PHC,1,-1
1250,PHC,1,-1
1251,Random,-1,1
1252,PHC,1,-1
1253,PHC,1,-1
1254,PHC,1,-1
1255,PHC,1,-1
1256,Random,-1,1
1257,Random,-1,1
1258,Random,-1,1
1259,Random,-1,1
1260,PHC,1,-1
1261,PHC,1,-1
1262,PHC,1,-1
1263,PHC,1,-1
1264,Random,-1,1
1265,PHC,1,-1
1266,PHC,1,-1
1267,PHC,1,-1
1268,PHC,1,-1
1269,Random,-1,1
1270,PHC,1,-1
1271,Random,-1,1
1272,Random,-1,1
1273,PHC,1,-1
1274,PHC,1,-1
1275,PHC,1,-1
1276,PHC,1,-1
1277,PHC,1,-1
1278,PHC,1,-1
1279,Random,-1,1
1280,PHC,1,-1
1281,PHC,1,-1
1282,PHC,1,-1
1283,Random,-1,1
1284,PHC,1,-1
1285,PHC,1,-1
1286,Random,-1,1
1287,Random,-1,1
1288,PHC,1,-1
1289,draw,0,0
